sale_id,product_id,units_sold,revenue,date
40341,2002,79,888.2,2023-04-19
40342,2018,34,5920.21,2023-08-02
40343,2003,68,5880.32,2023-07-29
40344,2020,50,9321.88,2023-07-30
40345,2004,18,8957.76,2023-07-03
40346,2015,28,8363.04,2023-07-31
40347,2007,66,7957.37,2023-12-12
40348,2008,81,9166.89,2023-06-12
40349,2012,51,1184.92,2023-03-09
40350,2018,76,5140.82,2023-01-12
40351,2007,48,1078.78,2023-04-30
40352,2005,25,7425.47,2023-07-05
40353,2011,43,2786.49,2023-04-18
40354,2007,87,3528.18,2023-09-25
40355,2003,33,9985.79,2023-08-02
40356,2007,88,3652.6,2023-03-12
40357,2009,49,9523.79,2023-09-18
40358,2015,32,7440.39,2023-07-25
40359,2016,82,1276.69,2023-12-04
40360,2008,99,3149.09,2023-11-11
40361,2008,87,6419.58,2023-02-17
40362,2019,77,6757.12,2023-05-01
40363,2012,30,1604.63,2023-10-19
40364,2009,58,3528.16,2023-09-10
40365,2010,90,4241.29,2023-02-02
40366,2016,95,7398.78,2024-01-22
40367,2007,3,389.63,2023-02-02
40368,2001,66,770.69,2023-03-25
40369,2010,84,988.4,2024-01-06
40370,2011,52,4969.81,2023-07-15
40371,2019,23,858.4,2023-06-14
40372,2004,22,4428.35,2023-06-19
40373,2002,20,1060.55,2023-08-17
40374,2010,44,6114.16,2023-07-25
40375,2010,90,4398.48,2023-02-17
40376,2003,59,732.01,2023-02-06
40377,2016,97,7649.96,2024-01-21
40378,2008,35,7473.86,2023-12-14
40379,2008,92,2974.87,2023-08-29
40380,2017,96,9848.25,2023-04-26
40381,2020,38,6004.31,2023-12-06
40382,2016,70,9978.32,2023-06-17
40383,2010,72,9160.9,2023-06-12
40384,2005,75,9772.13,2023-05-14
40385,2003,34,8730.22,2023-06-26
40386,2012,18,9766.05,2023-05-06
40387,2005,29,2318.59,2023-11-06
40388,2012,99,3752.71,2023-06-03
40389,2013,24,8952.43,2023-04-03
40390,2008,81,1232.88,2024-01-12
40391,2004,37,3681.95,2023-05-14
40392,2020,49,3645.63,2023-02-05
40393,2009,74,2324.24,2023-02-09
40394,2007,10,8772.56,2023-09-18
40395,2006,26,1497.7,2024-01-10
40396,2002,63,6713.28,2023-03-05
40397,2004,79,6731.23,2023-11-12
40398,2019,16,2538.76,2024-01-27
40399,2016,4,5303.91,2023-04-06
40400,2010,46,6882.95,2023-11-18
40401,2004,74,5306.21,2023-06-07
40402,2004,56,4061.19,2023-01-14
40403,2019,97,1192.31,2023-01-30
40404,2017,25,2593.24,2023-04-08
40405,2001,63,8542.3,2023-11-06
40406,2016,74,8090.17,2023-01-20
40407,2014,15,3312.05,2024-01-13
40408,2016,39,903.83,2023-10-30
40409,2018,99,3871.78,2023-11-03
40410,2011,62,3496.99,2023-04-27
40411,2010,8,5977.35,2023-10-29
40412,2009,90,4516.4,2023-05-27
40413,2009,43,8447.87,2023-01-31
40414,2003,19,4070.7,2023-11-26
40415,2010,54,4665.67,2023-10-27
40416,2003,53,2637.03,2023-11-21
40417,2005,26,5254.17,2023-05-09
40418,2012,55,586.38,2023-07-29
40419,2009,85,348.06,2023-12-04
40420,2014,45,5573.58,2023-01-21
40421,2017,38,2906.07,2023-07-15
40422,2015,46,8166.4,2023-01-20
40423,2003,18,2324.07,2023-04-08
40424,2016,53,2762.99,2023-08-16
40425,2004,45,2734.6,2023-06-25
40426,2018,98,4659.64,2023-01-29
40427,2008,12,1774.88,2024-01-25
40428,2010,27,7564.31,2023-01-02
40429,2003,36,9317.67,2023-01-14
40430,2003,27,5788.85,2023-11-05
40431,2010,43,6960.75,2023-12-04
40432,2008,74,6518.22,2024-01-15
40433,2004,81,2755.42,2023-05-03
40434,2004,43,5613.38,2023-01-31
40435,2004,59,8902.02,2023-12-24
40436,2019,86,7427.94,2023-03-23
40437,2011,90,2145.8,2023-12-04
40438,2010,21,9042.28,2023-11-14
40439,2006,77,6562.51,2023-10-16
40440,2014,89,1179.71,2023-08-20
40441,2018,42,1148.57,2023-07-31
40442,2015,19,9374.9,2024-02-01
40443,2004,43,2518.61,2023-10-31
40444,2016,48,56.36,2024-01-26
40445,2019,22,354.7,2023-07-29
40446,2005,34,3644.44,2023-10-30
40447,2009,89,9084.8,2023-01-23
40448,2019,87,4258.12,2023-10-16
40449,2005,16,5799.51,2023-08-30
40450,2006,39,1143.22,2023-07-22
40451,2017,89,1318.63,2023-12-09
40452,2019,78,1202.49,2023-04-22
40453,2012,6,6569.65,2023-04-21
40454,2018,2,8329.24,2024-01-17
40455,2017,84,9073.45,2023-04-27
40456,2001,44,2360.54,2023-05-31
40457,2006,98,3290.64,2023-05-30
40458,2003,61,6106.39,2023-08-16
40459,2008,74,251.48,2023-10-28
40460,2006,59,5207.76,2023-04-19
40461,2013,94,4749.51,2023-04-20
40462,2014,62,4867.88,2024-01-27
40463,2010,80,3030.65,2023-04-08
40464,2001,1,5250.22,2023-03-09
40465,2013,7,2130.59,2023-09-26
40466,2012,74,7792.89,2023-05-16
40467,2020,11,8795.65,2023-09-03
40468,2004,9,4014.81,2024-01-05
40469,2009,45,8042.35,2023-09-06
40470,2009,99,1405.22,2024-02-01
40471,2009,42,7123.34,2023-04-19
40472,2019,75,5547.33,2023-07-16
40473,2018,7,9147.88,2023-07-15
40474,2017,88,1282.96,2024-01-04
40475,2002,9,1580.83,2024-01-12
40476,2013,20,8837.2,2024-01-06
40477,2009,41,1081.29,2024-01-12
40478,2009,66,4244.91,2023-08-30
40479,2012,53,8827.08,2023-06-24
40480,2006,72,3154.39,2023-12-20
40481,2010,6,6310.49,2023-09-11
40482,2020,94,892.27,2023-10-10
40483,2015,23,8308.52,2023-12-13
40484,2006,78,4245.43,2023-12-25
40485,2002,9,6296.41,2023-09-28
40486,2008,17,9386.54,2023-09-21
40487,2020,8,1451.83,2023-04-18
40488,2013,68,6459.52,2023-07-14
40489,2016,8,4421.4,2023-01-24
40490,2006,59,3964.8,2023-01-19
40491,2011,56,1182.14,2023-11-22
40492,2003,48,9197.56,2023-11-11
40493,2006,15,7320.17,2023-06-01
40494,2006,6,7693.2,2023-11-20
40495,2017,42,4318.91,2023-10-30
40496,2001,22,8223.62,2023-02-27
40497,2006,91,9419.01,2023-11-01
40498,2004,66,2973.49,2023-04-27
40499,2010,61,7023.28,2023-09-14
40500,2001,46,2683.34,2023-01-30
40501,2017,49,5919.54,2023-06-28
40502,2002,75,2534.19,2023-05-28
40503,2004,68,611.83,2023-02-08
40504,2020,85,1608.28,2023-05-23
40505,2013,24,9080.01,2023-06-09
40506,2006,85,635.47,2023-03-05
40507,2002,44,219.52,2024-01-28
40508,2019,27,3736.57,2024-01-01
40509,2006,40,9150.57,2023-07-20
40510,2013,66,9543.94,2023-12-11
40511,2011,23,4030.16,2023-11-04
40512,2009,73,5990.22,2023-02-11
40513,2019,19,9872.17,2023-02-08
40514,2020,2,8844.88,2023-10-12
40515,2006,69,1373.71,2023-07-05
40516,2015,49,607.55,2023-01-24
40517,2018,66,4149.01,2023-04-23
40518,2019,19,1164.87,2023-10-11
40519,2011,28,3205.51,2023-11-03
40520,2014,13,9714.61,2023-01-23
40521,2017,88,2626.46,2023-09-13
40522,2001,97,3470.07,2023-05-03
40523,2002,30,2702.69,2023-12-21
40524,2007,48,2657.8,2023-01-01
40525,2006,3,5302.53,2023-08-09
40526,2016,80,465.63,2024-01-29
40527,2003,94,4137.8,2023-03-26
40528,2011,73,3562.67,2023-03-10
40529,2019,70,7767.61,2023-02-02
40530,2013,91,2474.92,2023-05-19
40531,2018,98,6955.37,2023-11-08
40532,2010,34,2476.74,2023-05-22
40533,2006,1,8268.31,2023-02-03
40534,2003,64,2964.93,2023-04-08
40535,2012,40,284.13,2023-08-14
40536,2014,20,7497.0,2024-01-12
40537,2001,54,6461.92,2023-05-29
40538,2014,62,5969.98,2023-09-16
40539,2018,48,1534.32,2023-07-02
40540,2009,94,5016.13,2023-01-02
40541,2005,84,4117.79,2023-10-20
40542,2010,67,8995.97,2023-09-10
40543,2007,25,5071.93,2023-03-02
40544,2014,30,4622.31,2023-01-28
40545,2013,16,1189.25,2023-09-28
40546,2010,90,7061.14,2023-04-07
40547,2013,15,1419.8,2023-06-18
40548,2002,7,9182.75,2023-07-12
40549,2019,71,9491.88,2023-03-14
40550,2014,30,8730.44,2023-11-16
40551,2014,23,2997.68,2024-01-26
40552,2017,15,9899.52,2023-12-15
40553,2012,54,9602.68,2023-11-16
40554,2009,78,9518.94,2023-05-30
40555,2006,45,886.03,2023-03-29
40556,2014,92,1326.51,2023-09-04
40557,2009,13,8291.21,2023-09-26
40558,2007,70,4592.91,2023-05-10
40559,2005,3,5127.59,2023-06-08
40560,2006,72,5474.77,2023-11-25
40561,2007,67,7624.99,2023-10-03
40562,2005,59,5871.16,2023-10-14
40563,2004,46,5006.72,2023-05-20
40564,2004,4,3495.01,2023-09-29
40565,2016,49,6129.93,2023-02-25
40566,2006,90,3322.55,2023-11-20
40567,2008,98,4142.78,2023-04-02
40568,2006,62,1644.18,2023-12-01
40569,2015,46,2643.15,2023-04-20
40570,2004,63,9192.21,2023-09-04
40571,2012,83,4256.3,2023-09-13
40572,2017,33,6200.48,2023-09-08
40573,2014,74,8185.61,2023-10-18
40574,2016,15,6041.52,2023-01-18
40575,2003,28,3930.51,2024-01-03
40576,2010,66,5103.25,2023-11-09
40577,2005,96,2831.51,2023-10-18
40578,2004,69,428.09,2023-05-27
40579,2010,99,7408.29,2024-01-18
40580,2019,54,2206.16,2023-01-21
40581,2010,23,3568.91,2023-09-24
40582,2020,44,1620.53,2023-07-01
40583,2014,59,234.14,2023-01-01
40584,2004,91,6212.21,2023-05-16
40585,2001,17,7692.07,2023-06-17
40586,2005,40,6640.2,2023-03-13
40587,2016,70,1277.82,2023-04-04
40588,2011,17,7147.78,2023-08-27
40589,2008,62,5359.75,2023-01-07
40590,2017,40,582.13,2023-07-20
40591,2014,96,8068.07,2024-01-08
40592,2016,3,4494.36,2023-05-17
40593,2018,25,3061.27,2023-10-07
40594,2007,91,5396.49,2023-11-20
40595,2017,54,9753.16,2023-04-19
40596,2020,56,2320.51,2023-05-28
40597,2009,31,6246.46,2023-10-08
40598,2008,38,9985.33,2023-08-08
40599,2009,38,8271.53,2023-08-16
40600,2008,25,3270.74,2023-12-31
40601,2009,90,9943.67,2023-02-17
40602,2016,7,9145.97,2023-01-26
40603,2013,96,1364.14,2023-10-23
40604,2008,92,6813.62,2023-10-05
40605,2006,90,5157.42,2023-12-28
40606,2004,26,323.76,2023-02-25
40607,2013,95,9044.93,2023-12-09
40608,2003,74,9425.16,2023-03-29
40609,2011,100,714.36,2023-09-27
40610,2008,33,7877.62,2023-05-20
40611,2013,77,2801.25,2023-12-03
40612,2004,31,7465.06,2023-09-09
40613,2016,76,697.99,2024-01-23
40614,2017,72,5482.53,2023-05-30
40615,2015,99,6862.59,2023-05-28
40616,2013,61,4955.82,2023-12-01
40617,2011,9,4243.07,2023-12-22
40618,2013,31,1459.38,2023-04-05
40619,2011,73,3880.87,2023-01-24
40620,2003,24,2022.53,2023-12-04
40621,2012,36,6213.61,2023-12-02
40622,2006,95,401.24,2023-07-20
40623,2009,75,9353.74,2023-11-26
40624,2017,89,2945.5,2023-07-05
40625,2014,92,9636.22,2023-05-01
40626,2015,95,6329.31,2023-06-23
40627,2001,51,4391.3,2023-07-05
40628,2009,30,5201.43,2023-12-29
40629,2005,86,4852.58,2023-02-24
40630,2004,50,1627.85,2023-05-10
40631,2002,33,8266.14,2023-12-05
40632,2013,13,9484.03,2023-06-18
40633,2005,17,7838.5,2023-03-05
40634,2002,94,738.47,2023-05-23
40635,2007,50,1903.18,2023-09-21
40636,2015,21,2310.66,2023-08-10
40637,2018,100,6351.39,2023-12-15
40638,2017,33,6763.16,2023-09-15
40639,2003,44,279.31,2023-04-23
40640,2004,9,6183.44,2023-05-16
40641,2006,34,5302.07,2023-11-16
40642,2016,91,1834.16,2023-10-27
40643,2012,46,8246.86,2023-07-14
40644,2019,62,9425.6,2023-12-17
40645,2005,9,1542.52,2023-10-16
40646,2019,49,7552.61,2023-12-07
40647,2018,70,6487.07,2023-02-23
40648,2010,61,6455.54,2023-05-09
40649,2020,37,547.28,2023-09-23
40650,2011,12,1680.79,2023-09-04
40651,2007,41,6773.82,2023-03-14
40652,2003,51,3578.07,2023-04-28
40653,2020,82,8877.89,2023-05-14
40654,2016,26,8869.83,2023-05-11
40655,2001,53,7179.2,2023-04-30
40656,2009,93,4715.67,2023-02-15
40657,2006,15,1911.03,2023-05-27
40658,2001,87,7241.37,2023-06-11
40659,2004,92,5112.52,2023-02-20
40660,2014,21,9199.34,2023-02-20
40661,2018,93,2775.25,2023-02-07
40662,2013,7,998.07,2023-10-02
40663,2015,65,8658.33,2023-05-09
40664,2005,59,5609.66,2024-01-17
40665,2015,77,9687.57,2023-03-14
40666,2007,56,1802.99,2023-03-08
40667,2018,70,863.83,2023-11-06
40668,2017,48,3250.08,2023-05-10
40669,2018,51,3102.22,2023-09-30
40670,2019,58,4285.16,2023-10-10
40671,2005,24,3621.12,2023-11-30
40672,2016,12,6116.03,2023-11-14
40673,2007,76,7887.49,2023-06-30
40674,2015,49,7168.3,2023-09-06
40675,2020,1,8900.98,2023-07-21
40676,2011,44,5339.22,2023-09-23
40677,2014,67,3547.21,2023-04-23
40678,2019,16,602.2,2023-07-20
40679,2011,64,240.91,2023-09-23
40680,2014,30,4915.23,2023-10-10
40681,2006,90,4550.59,2023-06-14
40682,2002,95,9531.49,2023-01-19
40683,2007,37,2313.97,2023-04-03
40684,2017,36,6947.52,2023-01-20
40685,2014,94,4357.48,2023-10-19
40686,2020,58,1604.48,2023-05-07
40687,2010,26,1855.52,2023-04-05
40688,2003,13,3839.56,2023-12-14
40689,2016,8,1062.21,2023-05-15
40690,2012,9,2068.48,2023-11-29
40691,2015,19,3789.34,2023-08-21
40692,2004,94,3811.22,2023-11-22
40693,2015,90,8724.4,2023-03-05
40694,2015,25,9964.3,2023-02-09
40695,2008,52,9671.68,2023-08-21
40696,2009,46,4295.98,2023-08-27
40697,2002,17,9507.04,2023-07-20
40698,2001,19,6586.84,2023-02-23
40699,2017,80,8334.39,2023-10-06
40700,2020,6,1204.75,2023-08-03
40701,2002,57,2334.16,2023-09-06
